CODIGO	EXTENSAO	CATEGORIA	NOME_CURTO	NOME_OFICIAL	VIGENTE_DESDE
6230		PIS	Retenção na Fonte sobre Pagamento Efetuado por Órgão Público à Pessoa Jurídica	PIS - Retenção na Fonte sobre Pagamento Efetuado por Órgão Público à Pessoa Jurídica	01/01/1997
6656		PIS	Não-Cumulativo - Lançamento de Ofício	PIS - Não-Cumulativo - Lançamento de Ofício	27/07/2004
6824		PIS	Combustíveis	PIS - Combustíveis	16/01/2003
6912		PIS	Não Cumulativo (Lei 10.637/02)	PIS - Não Cumulativo (Lei 10.637/02)	28/03/2003
7200		PIS	Simples	PIS - Simples	01/01/1997
7460		PIS	Depósito Judicial	PIS - Depósito Judicial	26/11/1998
7634		PIS	Depósito Administrativo	PIS - Depósito Administrativo	26/11/1998
7797		PIS	Trans Navios	PIS - Trans Navios	26/11/1998
8002		PIS	Dedução	PIS - Dedução	—
8109		PIS	Faturamento	PIS - Faturamento	01/01/1995
8205		PIS	Repique Imposto de Renda	PIS - Repique Imposto de Renda	01/01/1995
8301		PIS	Folha de Pagamento	PIS - Folha de Pagamento	—
8496		PIS	Fabricação e Importação de Veículos em Substituição Tributária	PIS - Fabricação e Importação de Veículos em Substituição Tributária	26/05/2000
8707		PIS	Regime Especial de Parcelamento - MP 38/2002 e Lei 10.684/03	Pasep - Regime Especial de Parcelamento - MP 38/2002 e Lei 10.684/03	03/07/2002
0434		COFINS	Importação de Serviços-Lançamento de Ofício	Cofins-Importação de Serviços-Lançamento de Ofício	22/11/2006
0468		COFINS	Regime Especial de Tributação - Patrimônio de Afetação - Lançamento de Ofício	Cofins - Regime Especial de Tributação - Patrimônio de Afetação - Lançamento de Ofício	21/12/2007
0760		COFINS	Tributação de Bebidas Frias - Cervejas	Cofins - Tributação de Bebidas Frias - Cervejas	01/01/2009
0776		COFINS	Tributação de Bebidas Frias - Demais Bebidas	Cofins - Tributação de Bebidas Frias - Demais Bebidas	01/01/2009
0782		COFINS	Importação - Tributação de Bebidas Frias - Cervejas	Cofins - Importação - Tributação de Bebidas Frias - Cervejas	01/01/2009
0809		COFINS	Importação - Tributação de Bebidas Frias - Demais Bebidas	Cofins - Importação - Tributação de Bebidas Frias - Demais Bebidas	01/01/2009
0855		COFINS	Importação - Depósito Administrativo	Cofins - Importação - Depósito Administrativo	01/09/2006
0929		COFINS	Regime Epecial de Apuração e Pagamento - Álcool	Cofins - Regime Epecial de Apuração e Pagamento - Álcool	03/02/2009
0935		COFINS	Importação - Regime Especial de Apuração e Pagamento - Álcool	Cofins - Importação - Regime Especial de Apuração e Pagamento - Álcool	03/02/2009
1330		COFINS	Simples Nacional - Lançamento de Ofício	Cofins - Simples Nacional - Lançamento de Ofício	12/08/2009
1840		COFINS	Vendas à ZMF - Substituição Tributária	Cofins - Vendas à ZMF - Substituição Tributária	17/05/2006
1994		COFINS	Importação - Depósito Judicial	Cofins - Importação - Depósito Judicial	01/09/2006
2172		COFINS	Contribuição para Financiamento Seguridade Social	Cofins - Contribuição para Financiamento Seguridade Social	—
2960		COFINS	Lançamento de Ofício	Cofins - Lançamento de Ofício	—
3316		COFINS	Retenção na Fonte sobre Pagamentos de Pessoa Jurídica a outra Pessoa Jurídica de	Cofins - Retenção na Fonte sobre Pagamentos de Pessoa Jurídica a outra Pessoa Jurídica de Direito Privado - Lançamento de Ofício	04/02/2005
3332		COFINS	Retenção na Fonte sobre Pagamentos de Empresa Pública, Sociedade de Economia Mis	Cofins - Retenção na Fonte sobre Pagamentos de Empresa Pública, Sociedade de Economia Mista e outras Entidades a Pessoa Jurídica de Direito Privado - Lançamento de Ofício	04/02/2005
3644		COFINS	Cobrança	Cofins - Cobrança	—
3746		COFINS	Retenção na Fonte - Aquisição de Autopeças	Cofins - Retenção na Fonte - Aquisição de Autopeças	12/12/2005
4166		COFINS	Regime Especial de Tributação do Patrimônio de Afetação	Cofins - Regime Especial de Tributação do Patrimônio de Afetação	06/12/2004
4407		COFINS	Retenção na Fonte sobre Pagamentos dos Estados, DF e Municípios pela Aquisição d	Cofins - Retenção na Fonte sobre Pagamentos dos Estados, DF e Municípios pela Aquisição de Bens e Serviços	15/12/2004
4685		COFINS	Importação de Bens - Lançamento de Ofício	Cofins - Importação de Bens - Lançamento de Ofício	27/07/2004
5442		COFINS	Importação de Serviços	Cofins - Importação de Serviços	17/05/2004
5477		COFINS	Não-Cumulativa - Lançamento de Ofício	Cofins - Não-Cumulativa - Lançamento de Ofício	27/07/2004
5629		COFINS	Importação	Cofins - Importação	01/05/2004
5856		COFINS	Cofins Não-Cumulativa	Cofins Não-Cumulativa	01/02/2004
